SessionID,location_label,type_label,fund_label,class_label,time_label
802,101,2,1,1,2
803,104,1,2,2,2
805,200,1,2,1,2
807,103,1,2,1,2
810,200,1,2,1,2
811,104,1,2,1,2
812,102,1,1,5,1
813,200,1,2,1,2
814,103,1,2,1,2
817,102,1,1,5,2
818,104,1,1,1,2
819,102,1,2,1,2
820,104,2,1,1,2
821,103,1,2,5,1
822,103,2,2,1,1
824,104,1,2,1,2
825,104,1,1,2,2
827,102,4,2,8,2
831,103,1,1,2,2
832,103,2,1,1,2
834,104,2,1,1,2
836,103,3,2,1,2
837,405,1,2,3,1
838,102,1,2,1,2
839,103,1,2,2,2
840,102,4,2,8,2
843,103,1,2,2,2
844,103,1,1,8,2
846,104,1,2,1,2
847,200,1,2,1,2
850,200,1,2,1,2
851,102,1,2,1,2
853,102,1,2,5,1
854,102,1,2,1,2
855,104,1,1,1,1
856,103,1,2,1,2
857,103,1,1,1,2
860,103,1,1,1,2
861,104,2,1,1,2
862,102,1,2,1,1
863,200,1,2,1,2
864,102,1,2,1,1
865,103,1,1,1,2
866,103,1,1,1,1
868,101,1,1,1,2
869,103,1,1,1,2
870,104,1,2,3,2
871,200,1,2,1,2
873,405,4,1,8,2
875,200,1,2,1,2
877,200,1,2,1,2
878,200,1,2,1,2
879,102,1,2,1,2
880,102,1,1,1,2
883,103,1,1,2,2
884,101,1,1,5,2
885,402,4,1,4,2
886,103,1,2,1,2
890,103,1,1,4,2
892,102,1,2,1,2
894,103,3,2,3,2
896,104,1,1,1,2
897,103,1,2,1,2
898,102,1,2,1,2
901,405,1,2,2,2
902,101,1,2,2,2
903,101,1,2,2,2
905,405,1,2,5,2
906,103,1,2,5,1
907,104,1,1,2,2
908,103,4,1,6,2
909,200,1,2,2,2
910,200,1,2,1,2
913,102,1,1,2,2
914,103,4,1,6,2
915,101,2,1,1,2
916,104,1,2,5,2
917,200,1,2,1,2
918,103,1,1,2,2
919,402,1,1,1,2
920,102,1,1,5,1
922,104,1,2,5,2
924,103,2,1,1,2
926,102,1,2,1,2
930,103,2,1,1,2
931,405,1,2,4,1
932,102,4,2,8,2
933,103,2,1,1,2
934,103,1,2,1,1
935,104,1,2,2,2
936,103,1,1,1,2
938,200,1,2,1,2
940,101,2,1,2,2
941,103,1,1,4,2
942,200,1,2,1,2
943,402,1,1,1,2
944,101,1,1,5,2
945,103,2,1,3,2
946,200,1,2,1,2
947,104,1,1,1,1
948,102,1,2,1,1
949,200,1,2,1,2
950,104,1,2,1,2
951,103,3,2,3,2
953,104,1,2,1,2
954,402,4,1,4,2
956,103,1,1,4,2
957,104,1,2,2,2
958,101,2,1,8,2
959,200,1,2,1,2
960,101,1,1,8,2
961,103,1,2,1,2
963,102,1,2,8,2
964,103,1,1,1,2
965,405,1,2,5,1
967,103,1,2,1,2
968,102,1,2,1,2
969,101,1,2,2,2
972,200,1,2,1,2
973,200,1,2,1,2
975,102,1,1,5,2
977,102,1,2,1,2
978,501,1,2,2,2
979,103,1,2,4,2
983,101,1,1,2,2
984,501,1,2,2,2
985,101,1,1,5,1
986,104,4,2,5,2
987,200,1,2,1,2
988,200,1,2,1,2
990,200,1,2,1,2
991,104,1,2,2,2
992,102,1,2,1,2
993,104,1,2,1,1
994,103,1,2,1,2
995,200,1,2,1,2
998,101,1,1,1,2
999,104,1,2,1,2
1001,101,2,1,2,2
1002,102,1,2,1,2
1003,103,1,2,5,2
1005,200,1,2,1,2
1007,102,1,2,1,1
1008,503,1,2,4,2
1009,101,1,1,2,2
1010,102,4,2,8,2
1011,102,1,1,1,2
1013,405,1,2,5,1
1014,104,1,2,8,2
1016,104,4,1,1,2
1018,104,1,2,1,2
1019,104,1,2,2,2
1020,501,1,2,5,2
1021,103,2,1,1,2
1022,103,1,2,1,1
1023,103,4,1,6,2
1026,101,2,1,1,2
1027,102,1,2,1,2
1028,103,1,1,1,2
1031,103,1,1,1,2
1034,102,1,1,2,2
1037,200,1,2,1,2
1038,405,1,2,4,1
1040,102,1,1,1,2
1041,200,1,2,1,2
1042,200,1,2,1,2
1044,103,2,1,8,1
1045,104,1,2,1,2
1048,102,1,2,1,2
1049,102,1,2,1,2
1051,200,1,2,1,2
1052,103,1,1,8,2
1053,104,1,2,1,2
1054,101,1,2,2,2
1055,103,4,1,6,2
1056,103,1,2,1,2
1060,103,1,2,1,2
1061,200,1,2,1,2
1063,103,1,2,5,2
1065,104,2,1,1,2
1067,101,1,2,2,2
1069,101,1,1,1,2
1070,104,1,1,8,1
1072,103,2,1,2,2
1073,103,1,2,1,2
1074,200,1,2,1,2
1075,103,1,1,1,1
1076,103,2,1,8,1
1078,200,1,2,1,2
1079,103,1,2,5,1
1080,200,1,2,1,2
1082,104,1,2,2,2
1083,104,1,2,2,2
1084,102,1,2,1,2
1086,104,1,2,5,2
1087,502,1,2,4,2
1088,103,1,2,1,2
1089,104,1,2,3,2
1090,200,1,2,1,2
1091,103,2,1,1,2
1092,102,1,2,1,2
1093,104,1,2,1,2
1094,103,3,2,1,2
1096,104,1,2,5,1
1098,103,1,2,1,1
1099,503,1,2,4,2
1105,200,1,2,1,2
1107,103,1,1,4,2
1108,102,1,2,1,2
1110,103,1,2,4,1
1111,103,2,1,5,2
1112,101,2,1,1,2
1113,405,1,2,1,2
1114,104,1,2,2,2
1118,101,1,2,2,2
1119,104,1,2,1,2
1121,200,1,2,1,2
1122,200,1,2,1,2
1126,102,1,2,1,1
1127,104,1,2,1,2
1131,102,1,2,1,2
1132,102,1,2,1,1
1133,200,1,2,1,2
1135,104,1,1,8,1
1136,104,1,2,3,2
1137,102,1,2,1,2
1139,103,1,1,1,2
1140,103,2,1,1,2
1142,104,1,2,1,2
1143,501,1,2,5,2
1144,104,1,2,1,2
1146,200,1,2,1,2
1147,103,2,1,2,2
1148,103,1,2,5,2
1150,101,1,2,8,2
1152,102,1,2,1,2
1154,102,1,2,2,2
1160,104,1,2,2,2
1163,103,1,2,5,2
1166,103,1,1,1,2
1167,103,2,1,5,2
1169,104,1,1,1,2
1171,103,2,1,5,2
1172,102,1,2,1,2
1173,200,1,2,1,1
1174,103,1,1,1,2
1177,502,1,2,4,2
1179,200,1,2,1,2
1180,200,1,2,1,2
1182,103,1,2,1,2
1183,104,1,1,8,2
1184,103,1,2,1,1
1187,104,1,1,2,2
1188,103,1,2,1,2
1189,103,3,2,1,2
1190,102,1,1,2,1
1193,103,3,2,1,2
1194,103,2,1,2,2
1195,102,1,2,2,2
1196,104,1,2,2,2
1199,102,1,1,5,1
1201,104,1,1,2,2
1203,104,1,2,1,2
1205,103,1,2,2,2
1206,101,1,1,1,2
1209,104,1,2,8,2
1210,101,2,1,1,2
1211,104,1,1,5,1
1212,101,1,1,1,2
1213,104,1,1,1,2
1214,402,4,1,4,2
1215,104,2,1,1,2
1217,502,1,2,4,2
1218,101,2,1,1,2
1220,103,1,2,8,2
1221,101,1,1,8,2
1222,104,1,2,1,1
1224,405,1,2,4,1
1225,104,1,2,1,2
1226,103,2,1,1,2
1227,104,1,2,1,2
1229,405,1,2,5,2
1231,200,1,2,1,2
1232,101,1,1,5,2
1233,104,1,2,3,2
1234,104,1,2,1,2
1235,200,1,2,1,2
1236,104,1,2,1,2
1237,103,1,2,5,1
1238,102,1,2,1,1
1239,103,2,1,1,2
1240,102,1,2,1,2
1241,200,1,2,1,2
1242,103,1,2,5,2
1243,103,1,1,4,2
1244,103,1,1,4,2
1245,200,1,2,1,2
1246,200,1,2,1,2
1247,200,1,2,1,2
1252,104,1,2,1,2
1254,102,1,1,5,2
1256,102,1,1,2,1
1257,102,1,2,1,1
1258,104,1,2,1,2
1259,103,1,2,8,1
1261,102,1,1,5,1
1262,200,1,2,1,2
1263,200,1,2,1,2
1265,104,1,2,1,2
1267,501,1,2,5,2
1268,103,1,1,1,2
1275,502,1,2,4,2
1276,101,1,1,1,2
1277,102,1,1,1,2
1281,103,1,2,1,2
1282,103,2,1,2,1
1283,102,1,1,5,2
1284,200,1,2,1,2
1285,103,2,2,1,2
1286,103,1,2,1,2
1287,103,1,2,1,2
1288,103,1,2,5,2
1289,200,1,2,1,2
1292,103,1,1,4,2
1293,104,1,2,2,2
1296,102,1,2,8,2
1299,101,1,1,1,2
1300,502,1,2,4,2
1302,104,1,2,1,1
1303,104,1,1,1,2
1304,101,1,1,2,2
1306,103,1,2,1,2
1308,104,1,2,1,2
1310,103,1,2,8,2
1311,200,1,2,2,2
1312,104,1,1,2,2
1314,200,1,2,1,2
1315,104,4,1,1,2
1316,104,2,1,1,2
1318,101,1,1,1,1
1319,102,1,2,1,2
1320,200,1,2,1,2
1321,104,1,2,2,2
1322,104,1,2,2,2
1323,104,1,2,2,2
1326,104,1,2,1,2
1327,101,1,1,1,2
1328,104,1,2,1,2
1329,104,1,2,1,1
1330,200,1,2,1,2
1332,102,1,2,1,2
1333,101,1,1,1,1
1337,103,1,2,1,2
1340,103,1,2,1,1
1341,405,1,2,5,2
1342,101,1,2,1,2
1343,200,1,2,1,2
1345,101,1,2,1,2
1346,104,1,1,1,2
1347,101,1,1,5,2
1349,104,1,2,1,2
1350,104,1,2,1,2
1351,103,2,1,1,2
1352,101,1,1,5,2
